"District Name","District Code","Administrative Division","Headquarters","Number of Talukas","Area (in sq. km)","Population (Census 2011)","Population Density (per sq. km)","Sex Ratio","Literacy Rate (%)","Urban Population (%)","Formation Date","Geographical Coordinates (Latitude and Longitude)","Major River(s)","Major Crop(s)","Key Industries/Economy","Tourist Attractions"
"Pune","PU","Pune Division","Pune",14,15643,9429408,603,915,86.15,60.5,"1 May 1960","18.52° N, 73.85° E","Bhima, Mula, Mutha, Indrayani","Sugarcane, Jowar, Bajra, Grapes, Onions","IT & ITeS, Automotive, Manufacturing, Education, Floriculture","Shaniwar Wada, Aga Khan Palace, Sinhagad Fort, Lonavala-Khandala"
"Satara","ST","Pune Division","Satara",11,10480,3003741,287,988,82.87,21.9,"1 May 1960","17.68° N, 74.01° E","Krishna, Koyna, Venna","Sugarcane, Jowar, Soybean, Turmeric","Agriculture, Wind Power, Sugar Factories, Tourism","Kaas Plateau, Mahabaleshwar, Panchgani, Thoseghar Waterfall"
"Sangli","SN","Pune Division","Sangli",10,8572,2822143,329,966,81.48,25.5,"1 May 1960","16.85° N, 74.58° E","Krishna, Warana","Sugarcane, Grapes, Turmeric, Jowar","Sugar Production, Turmeric Processing, Textiles, Wine Industry","Sagareshwar Wildlife Sanctuary, Chandoli National Park, Sangli Fort"
"Solapur","SO","Pune Division","Solapur",11,14895,4317756,290,938,77.02,32.4,"1 May 1960","17.68° N, 75.90° E","Bhima, Sina, Man","Jowar, Sugarcane, Pomegranate, Pulses","Textiles (Chaddars), Sugar Factories, Beedi Industry, Agriculture","Siddheshwar Temple, Akkalkot Swami Samarth Maharaj Temple, Pandharpur Vithoba Temple"
"Kolhapur","KO","Pune Division","Kolhapur",12,7685,3876001,504,957,81.51,31.7,"1 May 1960","16.70° N, 74.24° E","Panchganga, Krishna, Dudhganga","Sugarcane, Rice, Soybean, Jaggery","Sugar Mills, Foundries, Textiles, Kolhapuri Chappal, Film Industry","Mahalakshmi Temple, Panhala Fort, Jyotiba Temple, Rankala Lake"
"Mumbai City","MC","Konkan Division","Mumbai",0,157,2969472,18914,832,89.21,100.0,"1 May 1960","18.96° N, 72.82° E","Mithi","None","Finance, Commerce, Entertainment (Bollywood), Ports, Services","Gateway of India, Marine Drive, Siddhivinayak Temple, Elephanta Caves"
"Mumbai Suburban","MS","Konkan Division","Bandra (East)",3,446,9356962,20980,860,89.91,100.0,"1 October 1990","19.07° N, 72.87° E","Mithi, Oshiwara, Dahisar","None","IT, Services, Residential Hubs, Small Scale Industries","Juhu Beach, Film City, Sanjay Gandhi National Park, Bandra-Worli Sea Link"
"Thane","TH","Konkan Division","Thane",7,4214,8131377,1930,886,84.53,77.0,"1 May 1960","19.21° N, 72.97° E","Ulhas, Vaitarna","Rice, Vegetables, Fruits","Manufacturing, Chemicals, Pharmaceuticals, Engineering","Upvan Lake, Kelwa Beach, Titwala Ganesh Mandir, Thane Creek Flamingo Sanctuary"
"Palghar","PL","Konkan Division","Palghar",8,5344,2990116,560,932,77.00,50.1,"1 August 2014","19.69° N, 72.77° E","Vaitarna, Surya, Pinjal","Rice, Chickoo, Coconut","Fishing, Agriculture, Industrial Estates (Boisar), Warli Painting","Dahanu-Bordi Beach, Kelwa Dam, Jivdani Temple (Virar), Warli Art Villages"
"Raigad","RG","Konkan Division","Alibag",15,7152,2634200,368,959,83.14,24.9,"1 May 1960","18.65° N, 73.07° E","Patalganga, Amba, Savitri","Rice, Mango, Cashew Nut, Coconut","Chemicals, Petrochemicals, Steel, Tourism, Ports (JNPT)","Raigad Fort, Murud-Janjira Fort, Alibag Beach, Karnala Bird Sanctuary"
"Ratnagiri","RT","Konkan Division","Ratnagiri",9,8208,1615069,197,1122,82.43,16.3,"1 May 1960","16.99° N, 73.30° E","Shastri, Vashishti, Kajali","Alphonso Mango, Rice, Cashew Nut, Coconut","Horticulture, Fishing, Food Processing, Tourism","Ganpatipule Temple, Jaigad Fort, Ratnadurg Fort, Guhagar Beach"
"Sindhudurg","SI","Konkan Division","Oros",8,5207,849651,163,1036,85.56,12.6,"1 May 1981","16.35° N, 73.56° E","Karli, Terekhol, Gad","Alphonso Mango, Cashew Nut, Coconut, Kokum, Rice","Tourism, Fishing, Horticulture, Food Processing","Sindhudurg Fort, Tarkarli Beach, Amboli Ghat, Malvan Marine Sanctuary"
"Nashik","NS","Nashik Division","Nashik",15,15530,6107187,393,934,82.31,42.5,"1 May 1960","20.00° N, 73.78° E","Godavari, Girna, Darna","Grapes, Onions, Pomegranate, Sugarcane","Wine Industry, Agriculture, HAL (Aerospace), Religious Tourism","Trimbakeshwar Shiva Temple, Panchavati, Sula Vineyards, Pandavleni Caves"
"Ahilyanagar","AH","Nashik Division","Ahilyanagar",14,17048,4543159,266,939,79.05,21.9,"1 May 1960","19.09° N, 74.74° E","Pravara, Mula, Godavari","Sugarcane, Jowar, Bajra, Pulses","Sugar Factories, Agriculture, Dairy, Military Establishments","Shirdi Sai Baba Temple, Shani Shingnapur, Ahmednagar Fort, Bhandardara Dam"
"Dhule","DH","Nashik Division","Dhule",4,7195,2050862,285,946,72.80,31.6,"1 May 1960","20.90° N, 74.77° E","Tapi, Panjhra","Cotton, Jowar, Chilli, Groundnut","Textile Mills, Edible Oil Mills, Agriculture","Laling Fort, Ekvira Devi Temple, Toranmal Hill Station (nearby)"
"Jalgaon","JG","Nashik Division","Jalgaon",15,11765,4229917,360,925,78.20,31.7,"1 May 1960","21.00° N, 75.56° E","Tapi, Girna, Waghur","Banana, Cotton, Jowar, Pulses","Banana Farming, Gold Market, PVC Pipes, Drip Irrigation Mfg.","Ajanta Caves (nearby), Swinging Towers of Farkande, Padmalaya Ganesh Temple"
